"";"id1";"id2";"tradeno";"bid1";"bid2";"payoff1";"payoff2"
"1";3;1;1;"cooperate";"cooperate";4;4
"2";4;2;2;"cooperate";"cooperate";4;4
"3";5;6;3;"cooperate";"defect";0;5
"4";2;5;4;"cooperate";"cooperate";4;4
"5";3;4;5;"cooperate";"cooperate";4;4
"6";6;1;6;"defect";"defect";2;2
"7";1;5;7;"defect";"cooperate";5;0
"8";6;4;8;"defect";"cooperate";5;0
"9";3;2;9;"cooperate";"cooperate";4;4
"10";4;1;10;"defect";"cooperate";5;0
"11";5;3;11;"cooperate";"defect";0;5
"12";6;2;12;"defect";"defect";2;2
"13";5;1;13;"cooperate";"cooperate";4;4
"14";6;2;14;"defect";"defect";2;2
"15";4;3;15;"cooperate";"defect";0;5
"16";4;2;16;"cooperate";"cooperate";4;4
"17";3;5;17;"cooperate";"cooperate";4;4
"18";1;6;18;"defect";"defect";2;2
"19";5;1;19;"cooperate";"cooperate";4;4
"20";6;4;20;"defect";"defect";2;2
"21";3;2;21;"cooperate";"cooperate";4;4
"22";4;6;22;"cooperate";"defect";0;5
"23";2;1;23;"defect";"cooperate";5;0
"24";5;3;24;"cooperate";"cooperate";4;4
"25";6;2;25;"defect";"defect";2;2
"26";1;5;26;"cooperate";"cooperate";4;4
"27";4;3;27;"cooperate";"cooperate";4;4
"28";4;5;28;"defect";"cooperate";5;0
"29";3;1;29;"cooperate";"cooperate";4;4
"30";2;6;30;"defect";"defect";2;2
"31";1;6;31;"defect";"defect";2;2
"32";2;3;32;"cooperate";"defect";0;5
"33";4;5;33;"cooperate";"cooperate";4;4
"34";2;3;34;"cooperate";"cooperate";4;4
"35";6;1;35;"defect";"defect";2;2
"36";4;5;36;"defect";"cooperate";5;0
"37";1;3;37;"cooperate";"defect";0;5
"38";6;5;38;"defect";"cooperate";5;0
"39";4;2;39;"cooperate";"defect";0;5
"40";4;6;40;"defect";"defect";2;2
"41";1;5;41;"cooperate";"cooperate";4;4
"42";2;3;42;"cooperate";"cooperate";4;4
"43";1;4;43;"defect";"defect";2;2
"44";6;5;44;"defect";"cooperate";5;0
"45";3;2;45;"cooperate";"cooperate";4;4
"46";2;3;46;"cooperate";"cooperate";4;4
"47";1;5;47;"cooperate";"cooperate";4;4
"48";6;4;48;"defect";"defect";2;2
"49";2;6;49;"defect";"defect";2;2
"50";1;5;50;"cooperate";"cooperate";4;4
"51";4;3;51;"defect";"defect";2;2
"52";2;3;52;"cooperate";"defect";0;5
"53";4;6;53;"defect";"defect";2;2
"54";1;5;54;"cooperate";"cooperate";4;4
"55";2;4;55;"defect";"defect";2;2
"56";6;3;56;"defect";"defect";2;2
"57";1;5;57;"cooperate";"cooperate";4;4
"58";6;1;58;"defect";"defect";2;2
"59";4;2;59;"defect";"defect";2;2
"60";5;3;60;"cooperate";"cooperate";4;4
"61";3;6;61;"defect";"defect";2;2
"62";4;5;62;"defect";"cooperate";5;0
"63";2;1;63;"cooperate";"defect";0;5
"64";3;1;64;"cooperate";"defect";0;5
"65";6;5;65;"defect";"cooperate";5;0
"66";4;2;66;"cooperate";"defect";0;5
"67";3;2;67;"defect";"cooperate";5;0
"68";5;4;68;"cooperate";"cooperate";4;4
"69";6;1;69;"defect";"defect";2;2
"70";4;1;70;"defect";"defect";2;2
"71";3;5;71;"cooperate";"cooperate";4;4
"72";2;6;72;"defect";"defect";2;2
"73";2;5;73;"cooperate";"cooperate";4;4
"74";3;6;74;"defect";"defect";2;2
"75";1;4;75;"defect";"cooperate";5;0
"76";1;2;76;"cooperate";"defect";0;5
"77";4;3;77;"defect";"defect";2;2
"78";5;6;78;"cooperate";"defect";0;5
"79";2;6;79;"defect";"defect";2;2
"80";4;1;80;"defect";"defect";2;2
"81";3;5;81;"cooperate";"cooperate";4;4
"82";3;1;82;"defect";"cooperate";5;0
"83";2;4;83;"defect";"cooperate";5;0
"84";5;6;84;"cooperate";"defect";0;5
"85";3;5;85;"cooperate";"cooperate";4;4
"86";4;1;86;"cooperate";"defect";0;5
"87";6;2;87;"defect";"defect";2;2
"88";3;1;88;"defect";"cooperate";5;0
"89";2;4;89;"cooperate";"defect";0;5
"90";6;5;90;"defect";"cooperate";5;0
"91";3;4;91;"defect";"cooperate";5;0
"92";2;5;92;"defect";"cooperate";5;0
"93";6;1;93;"defect";"defect";2;2
"94";3;4;94;"defect";"cooperate";5;0
"95";5;6;95;"cooperate";"defect";0;5
"96";2;1;96;"defect";"defect";2;2
"97";6;2;97;"defect";"defect";2;2
"98";1;3;98;"defect";"defect";2;2
"99";5;4;99;"cooperate";"defect";0;5
"100";5;3;100;"cooperate";"cooperate";4;4
"101";1;2;101;"defect";"defect";2;2
"102";4;6;102;"cooperate";"defect";0;5
"103";2;1;103;"defect";"defect";2;2
"104";3;5;104;"cooperate";"cooperate";4;4
"105";6;4;105;"defect";"cooperate";5;0
"106";3;2;106;"defect";"cooperate";5;0
"107";5;6;107;"cooperate";"defect";0;5
"108";4;1;108;"cooperate";"defect";0;5
"109";2;5;109;"cooperate";"cooperate";4;4
"110";4;6;110;"defect";"defect";2;2
"111";1;3;111;"defect";"defect";2;2
"112";4;2;112;"cooperate";"defect";0;5
"113";6;5;113;"defect";"cooperate";5;0
"114";3;1;114;"defect";"cooperate";5;0
"115";4;5;115;"cooperate";"cooperate";4;4
"116";2;1;116;"defect";"cooperate";5;0
"117";6;3;117;"defect";"defect";2;2
"118";2;6;118;"defect";"defect";2;2
"119";3;5;119;"defect";"cooperate";5;0
"120";4;1;120;"cooperate";"cooperate";4;4
"121";5;1;121;"cooperate";"defect";0;5
"122";4;6;122;"cooperate";"defect";0;5
"123";3;2;123;"defect";"defect";2;2
"124";1;5;124;"cooperate";"cooperate";4;4
"125";2;3;125;"defect";"defect";2;2
"126";4;6;126;"cooperate";"defect";0;5
"127";6;3;127;"defect";"defect";2;2
"128";2;5;128;"defect";"cooperate";5;0
"129";4;1;129;"defect";"cooperate";5;0
"130";3;1;130;"cooperate";"defect";0;5
"131";6;2;131;"defect";"defect";2;2
"132";5;4;132;"cooperate";"cooperate";4;4
"133";6;5;133;"defect";"cooperate";5;0
"134";1;2;134;"cooperate";"cooperate";4;4
"135";4;3;135;"cooperate";"cooperate";4;4
"136";2;1;136;"cooperate";"cooperate";4;4
"137";3;6;137;"defect";"defect";2;2
"138";5;4;138;"cooperate";"defect";0;5
"139";2;3;139;"defect";"cooperate";5;0
"140";4;1;140;"cooperate";"cooperate";4;4
"141";5;6;141;"cooperate";"defect";0;5
"142";1;5;142;"cooperate";"cooperate";4;4
"143";3;2;143;"defect";"defect";2;2
"144";6;4;144;"defect";"cooperate";5;0
"145";5;1;145;"cooperate";"defect";0;5
"146";6;4;146;"defect";"defect";2;2
"147";3;2;147;"cooperate";"defect";0;5
"148";6;1;148;"defect";"defect";2;2
"149";2;4;149;"cooperate";"defect";0;5
"150";5;3;150;"cooperate";"cooperate";4;4
"151";2;6;151;"defect";"defect";2;2
"152";5;3;152;"cooperate";"cooperate";4;4
"153";4;1;153;"defect";"cooperate";5;0
"154";5;4;154;"cooperate";"cooperate";4;4
"155";6;1;155;"defect";"defect";2;2
"156";2;3;156;"defect";"defect";2;2
"157";2;5;157;"cooperate";"cooperate";4;4
"158";6;1;158;"defect";"defect";2;2
"159";4;3;159;"defect";"cooperate";5;0
"160";4;3;160;"cooperate";"defect";0;5
"161";6;1;161;"defect";"defect";2;2
"162";2;5;162;"cooperate";"cooperate";4;4
